cert,name,sticker,floor
128159429,2025 Pikachu Simplified Chinese 151 C-Collection 151 #172 PSA 10,$3780,$3480
102607615,2023 Pikachu with Grey Felt Hat SVP Black Star Promos #085 PSA 10,$3400,$3130
94676138,2023 Pikachu with Grey Felt Hat SVP Black Star Promos #085 PSA 10,$3400,$3130
151936010,2026 Mega Dragonite Ex Asc En-Ascended Heroes #290 PSA 10,$2865,$2635
110420477,2021 Umbreon VMAX Sword & Shield: Evolving Skies #215 PSA 9,$2580,$2375
151607423,2025 Zekrom Ex Blk En-Black Bolt #172 PSA 10,$2160,$1985
89932897,2023 Charizard ex Scarlet & Violet 151 #199 PSA 10,$1960,$1805
143516232,2025 Reshiram Ex Wht En-White Flare #173 PSA 10,$1765,$1625
156593992,2025 Reshiram Ex Wht En-White Flare #173 PSA 10,$1765,$1625
106438552,2021 Fa / Dragonite V Sword & Shield Evolving Skies #192 PSA 10,$1510,$1390
119392108,2024 Pikachu ex Scarlet & Violet: Surging Sparks #238 PSA 10,$1435,$1320
138441842,2000 Umbreon-Holo Neo 2 #197 PSA 9,$1220,$1120
84566703,1998 Moltres Vending #146 PSA 10,$1200,$1105
131611480,2017 Mewtwo Gx Sun & Moon Shining Legends #78 PSA 8,$1040,$955
143540438,2025 Roaring Moon Ex Pre En-Prismatic Evolutions #162 PSA 10,$970,$890
99211118,2021 Espeon VMAX Sword & Shield: Fusion Strike #270 PSA 10,$970,$890
134321907,2019 M.sbleye / Tyranitar Gx Sun & Moon Unified Minds #226 PSA 9,$690,$635
98517579,2017 Fa / Shaymin Ex Premium Trainer Xy Collection Promo #77a PSA 8,$575,$530
95199161,2023 Fa / Arceus Vstar Sword and Shield Crown Zenith #GG70 PSA 10,$555,$510
126435156,2025 Eevee Ex Svp En-Sv Black Star Promo #174 PSA 10,$550,$505
146514325,2025 Eevee Ex Svp En-Sv Black Star Promo #174 PSA 10,$550,$505
107496657,2021 Fa / Rayquaza Vmax Sword & Shield Vmax Climax #252 PSA 10,$535,$490
6136935033,2021 Umbreon ☆ Celebrations - Classic Coll. #17/17 CGC 10 Pristine,$495,$455
115079776,2024 Gardevoir Ex Paf En-Paldean Fates #233 PSA 10,$490,$450
4321131035,2023 Blastoise ex Card 151 Japanese #202/165 CGC 10 Pristine,$465,$430
147655076,2020 Fa / Pikachu Vmax Sword & Shield VIVID Voltage #188 PSA 10,$455,$420
75183695,2023 Orgn.frm.dialga Vstar Sword and Shield Crown Zenith #GG68 PSA 10,$435,$400
113910492,2022 Fa / Mewtwo V Go #072 PSA 10,$430,$395
6130902118,2025 Mega Charizard X ex Black Star Promos #023 CGC 10 Pristine,$430,$395
92889917,2023 Magikarp Sv1a-Triplet Beat #080 PSA 10,$430,$395
110772487,2022 Charizard V Sword & Shield: Brilliant Stars #154 PSA 9,$405,$375
111350109,2020 Fa / Charizard Vmax Sword & Shield Shiny Star V #308 PSA 10,$405,$375
146746311,2025 Mega Latias Ex Meg En-Mega Evolution #181 PSA 10,$400,$370
139206918,2025 Mega Venusaur Ex Meg En-Mega Evolution #177 PSA 10,$395,$365
108973922,2023 Orgn.frm.palkia Vstar Sword and Shield Crown Zenith #GG67 PSA 10,$380,$350
121116624,2023 Fa / Deoxys Sword and Shield Crown Zenith #GG12 PSA 10,$375,$345
58568623,2021 Charizard VMAX Sword & Shield: Shining Fates #SV107 PSA 10,$370,$340
50358384,2000 Celebi-Holo Neo 3 #251 PSA 9,$345,$315
113090244,2019 Rowlet / Aln.exgtr.gx Sun & Moon Sky Legend #056 PSA 10,$340,$315
112214360,2023 Pidgeotto Obf En-Obsidian Flames #208 PSA 10,$310,$285
65570347,1999 Venusaur-Holo Game #15 PSA 7,$305,$280
99513425,2024 Latias Ex Sv7a-Paradise Dragona #087 PSA 10,$300,$275
60607369,2020 Rayquaza Sword & Shield VIVID Voltage #138 PSA 10,$295,$270
4322429002,2023 Eevee Scarlet & Violet Promos Japanese #062/SV-P CGC 10 Pristine,$275,$255
95276041,2023 Charizard Ex Obf En-Obsidian Flames #215 PSA 10,$265,$245
139036804,1999 Zapdos-Holo Game #16 PSA 8,$260,$240
152039165,2023 Full Art / Deoxys Vmax Sword and Shield Crown Zenith #GG45 PSA 10,$250,$230
114068076,2024 Milotic Ex Sv8-Super Electric Breaker #131 PSA 10,$225,$205
72016903,2016 Charizard-Rev.foil Xy Evolutions #11 PSA 9,$225,$205
3914522049,2000 Feraligatr Neo Genesis #5/111 CGC 8.5,$175,$160
6021615021,2024 Pikachu Black Star Promos - Scarlet & Violet SVP EN #190 CGC 10 Pristine,$145,$135
6021612152,2024 Ceruledge Paldean Fates - PAF EN #040/091 CGC 10 Pristine,$120,$110
104313026,2024 Palafin Paf En-Paldean Fates #225 PSA 10,$60,$55
