cert,name,current,cl_cv,pc,ebay_avg,ebay_count,ebay_reject,ebay_kw,ebay_url,winner,base,new_price,action,reason
102607615,Pikachu with Grey Felt Hat (FA),3400.0,,,,0,,,,,,,skip,not in CL
106438552,FA Dragonite V,1405.0,,,,0,,,,,,,skip,not in CL
107496657,FA Rayquaza VMAX,610.0,,,,0,,,,,,,skip,not in CL
108973922,Origin Forme Palkia VSTAR,360.0,,,,0,,,,,,,skip,not in CL
110420477,Umbreon VMAX (FA Secret),2390.0,2499.00,,2256.40,3,,2021 Umbreon VMAX Full Art Secret Rare #215 Sword & Shield Evolving Skies PSA 9,https://www.ebay.com/sch/i.html?_nkw=2021+Umbreon+VMAX+Full+Art+Secret+Rare+%23215+Sword+%26+Shield+Evolving+Skies+PSA+9&LH_Sold=1&LH_Complete=1&_ipg=120,CL,2499.00,2555,skip-below-tier-threshold,
110772487,Charizard V (Alternate Full Art),395.0,307.00,,283.68,4,,2022 Charizard V Alternate Full Art #154 Sword & Shield Brilliant Stars PSA 9,https://www.ebay.com/sch/i.html?_nkw=2022+Charizard+V+Alternate+Full+Art+%23154+Sword+%26+Shield+Brilliant+Stars+PSA+9&LH_Sold=1&LH_Complete=1&_ipg=120,CL,307.00,320,lower,
111350109,FA Charizard VMAX,380.0,289.00,,336.99,5,,2020 Full Art Charizard Vmax Shiny Star V #308 Sword & Shield Shiny Star V PSA 10,https://www.ebay.com/sch/i.html?_nkw=2020+Full+Art+Charizard+Vmax+Shiny+Star+V+%23308+Sword+%26+Shield+Shiny+Star+V+PSA+10&LH_Sold=1&LH_Complete=1&_ipg=120,EBAY,336.99,350,lower,
112214360,Pidgeotto (Illustration Rare),285.0,240.00,,213.85,8,,2023 Pidgeotto Illustration Rare #208 Obsidian Flames PSA 10,https://www.ebay.com/sch/i.html?_nkw=2023+Pidgeotto+Illustration+Rare+%23208+Obsidian+Flames+PSA+10&LH_Sold=1&LH_Complete=1&_ipg=120,CL,240.00,250,lower,
113090244,Rowlet & Alolan Exeggutor GX (FA),260.0,166.51,,,1,need>=3 (got 1),2019 Rowlet Aln.exgtr.gx Sky Legend-Full Art #056 Sun & Moon Sky Legend PSA 10,https://www.ebay.com/sch/i.html?_nkw=2019+Rowlet+Aln.exgtr.gx+Sky+Legend-Full+Art+%23056+Sun+%26+Moon+Sky+Legend+PSA+10&LH_Sold=1&LH_Complete=1&_ipg=120,CL,166.51,175,lower,
113910492,FA Mewtwo V,450.0,364.99,,366.43,7,,2022 Full Art Mewtwo V #072 Go PSA 10,https://www.ebay.com/sch/i.html?_nkw=2022+Full+Art+Mewtwo+V+%23072+Go+PSA+10&LH_Sold=1&LH_Complete=1&_ipg=120,EBAY,366.43,380,lower,
114068076,Milotic ex (Special Art Rare),195.0,130.00,,,0,need>=3 (got 0),2024 Milotic Ex Special Art Rare #131 Sv8-Super Electric Breaker PSA 10,https://www.ebay.com/sch/i.html?_nkw=2024+Milotic+Ex+Special+Art+Rare+%23131+Sv8-Super+Electric+Breaker+PSA+10&LH_Sold=1&LH_Complete=1&_ipg=120,CL,130.00,140,lower,
115079776,Gardevoir ex (Special Illustration Rare),530.0,450.00,,,2,need>=3 (got 2),2024 Gardevoir Ex Special Illustration Rare #233 Paldean Fates PSA 10,https://www.ebay.com/sch/i.html?_nkw=2024+Gardevoir+Ex+Special+Illustration+Rare+%23233+Paldean+Fates+PSA+10&LH_Sold=1&LH_Complete=1&_ipg=120,CL,450.00,465,lower,
119392108,Pikachu ex (Special Illustration Rare),1405.0,1159.11,,,2,need>=3 (got 2),2024 Pikachu ex Special Illustration Rare #238 Scarlet & Violet Surging Sparks PSA 10,https://www.ebay.com/sch/i.html?_nkw=2024+Pikachu+ex+Special+Illustration+Rare+%23238+Scarlet+%26+Violet+Surging+Sparks+PSA+10&LH_Sold=1&LH_Complete=1&_ipg=120,CL,1159.11,1190,lower,
121116624,FA Deoxys,335.0,300.00,,,2,need>=3 (got 2),2023 Full Art Deoxys Crown Zenith #GG12 Sword and Shield Crown Zenith PSA 10,https://www.ebay.com/sch/i.html?_nkw=2023+Full+Art+Deoxys+Crown+Zenith+%23GG12+Sword+and+Shield+Crown+Zenith+PSA+10&LH_Sold=1&LH_Complete=1&_ipg=120,CL,300.00,310,lower,
126435156,Eevee ex,550.0,375.00,,373.65,5,,2025 Eevee Ex Pre Super-Premium Collection #174 Sv Black Star Promo PSA 10,https://www.ebay.com/sch/i.html?_nkw=2025+Eevee+Ex+Pre+Super-Premium+Collection+%23174+Sv+Black+Star+Promo+PSA+10&LH_Sold=1&LH_Complete=1&_ipg=120,CL,375.00,390,lower,
128159429,Pikachu (Art Rare),4210.0,3800.00,,,0,need>=3 (got 0),2025 Pikachu Art Rare #172 Simplified Chinese 151 C-Collection 151 PSA 10,https://www.ebay.com/sch/i.html?_nkw=2025+Pikachu+Art+Rare+%23172+Simplified+Chinese+151+C-Collection+151+PSA+10&LH_Sold=1&LH_Complete=1&_ipg=120,CL,3800.00,3885,lower,
131611480,Mewtwo GX (Secret),1040.0,890.00,,911.20,8,,2017 Mewtwo Gx Shining Legends-Secret #78 Sun & Moon Shining Legends PSA 8,https://www.ebay.com/sch/i.html?_nkw=2017+Mewtwo+Gx+Shining+Legends-Secret+%2378+Sun+%26+Moon+Shining+Legends+PSA+8&LH_Sold=1&LH_Complete=1&_ipg=120,EBAY,911.20,935,lower,
134321907,M Sableye & Tyranitar GX (FA),475.0,397.51,,,0,need>=3 (got 0),2019 M.sbleye Tyranitar Gx Unified Minds-Fa #226 Sun & Moon Unified Minds PSA 9,https://www.ebay.com/sch/i.html?_nkw=2019+M.sbleye+Tyranitar+Gx+Unified+Minds-Fa+%23226+Sun+%26+Moon+Unified+Minds+PSA+9&LH_Sold=1&LH_Complete=1&_ipg=120,CL,397.51,410,lower,
138441842,Umbreon Holo,1050.0,,,,0,,,,,,,skip,not in CL
139036804,Zapdos Holo,180.0,85.00,,152.74,8,,1999 Zapdos #16 Game PSA 8,https://www.ebay.com/sch/i.html?_nkw=1999+Zapdos+%2316+Game+PSA+8&LH_Sold=1&LH_Complete=1&_ipg=120,EBAY,152.74,160,lower,
139206918,Mega Venusaur ex (Special Illustration Rare),380.0,304.00,,325.72,5,,2025 Mega Venusaur Ex Special Illustration Rare #177 Mega Evolution PSA 10,https://www.ebay.com/sch/i.html?_nkw=2025+Mega+Venusaur+Ex+Special+Illustration+Rare+%23177+Mega+Evolution+PSA+10&LH_Sold=1&LH_Complete=1&_ipg=120,EBAY,325.72,340,lower,
143540438,Roaring Moon ex (Special Illustration Rare),955.0,880.00,,854.58,4,,2025 Roaring Moon Ex Special Illustration Rare #162 Prismatic Evolutions PSA 10,https://www.ebay.com/sch/i.html?_nkw=2025+Roaring+Moon+Ex+Special+Illustration+Rare+%23162+Prismatic+Evolutions+PSA+10&LH_Sold=1&LH_Complete=1&_ipg=120,CL,880.00,905,lower,
146514325,Eevee ex,550.0,,,,0,,,,,,,skip,not in CL
