135860324,1300
113910492,350
93059213,950
98517579,330
44690212,1400
6136935033,435
97957537,1300
146059525,830
61407202,450
51557052,660
106438552,1400
138441842,1000
119392108,1200
54700750,275
65570347,225
102369962,215
95276041,215
88084896,150
112214360,280
92889917,325
115079776,450
6130902118,310
105740011,1250
114068076,135
89676057,125
60607369,230
101757294,125
56731424,130
50358384,250
56276763,160
118341038,140
73843148,180
113090244,250
104313030,80
120406485,75
83320225,75
3914522049,200
72016903,200
4322429002,270
143540438,850
