sk_code,cert,card_name,card_full,year,set,variation,number,grade,src_cl,src_pc,src_130p,src_winner,base_value,marked_up,final_price,name_for_match,ebay_n_graded,ebay_recent_median,ebay_trend,ebay_recommendation,src_winner_v2,final_price_v2
SK-26-G-0080,65570347,Venusaur-Holo,1999 Pokemon Game Venusaur-Holo #15 PSA 7,1999,Pokemon Game,,15,PSA 7,250.00,,,CL,250.00,285.00,305,venusaur holo|1999|pokemon game|PSA7,8,265.52,stable-norecent,305,ebay,305
SK-26-G-0057,92889917,Magikarp,2023 Pokemon Japanese Sv1a-Triplet Beat Magikarp Art Rare #080 PSA 10,2023,Pokemon Japanese Sv1a-Triplet Beat,Art Rare,080,PSA 10,339.99,,,CL,339.99,383.99,390,magikarp|2023|pokemon japanese sv1a triplet beat|PSA10,8,337.0,stable-norecent,390,ebay,390
SK-26-G-0055,95276041,Charizard Ex,2023 Pokemon Obf En-Obsidian Flames Charizard Ex Ultra Rare #215 PSA 10,2023,Pokemon Obf En-Obsidian Flames,Ultra Rare,215,PSA 10,199.00,169.99,,CL,199.00,231.85,265,charizard ex|2023|pokemon obf en obsidian flames|PSA10,8,228.94,stable-norecent,265,ebay,265
SK-26-G-0046,60607369,Rayquaza,2020 Pokemon Sword & Shield VIVID Voltage Rayquaza VIVID Voltage #138 PSA 10,2020,Pokemon Sword & Shield VIVID Voltage,VIVID Voltage,138,PSA 10,199.95,212.55,,PC,212.55,243.81,295,rayquaza|2020|pokemon sword shield vivid voltage|PSA10,8,257.62,stable-norecent,295,ebay,295
SK-26-G-0056,112214360,Pidgeotto,2023 Pokemon Obf En-Obsidian Flames Pidgeotto Illustration Rare #208 PSA 10,2023,Pokemon Obf En-Obsidian Flames,Illustration Rare,208,PSA 10,202.74,199.33,,CL,202.74,233.01,310,pidgeotto|2023|pokemon obf en obsidian flames|PSA10,8,253.03,up,310,ebay,310
SK-26-G-0067,4322429002,Eevee,2023 Pokemon Scarlet & Violet Promos Japanese Eevee YU NAGABA x Pokémon #062/SV-P CGC 10 Pristine,2023,Pokemon Scarlet & Violet Promos Japanese,YU NAGABA x Pokémon,062/SV-P,CGC 10 Pristine,242.81,,,CL,242.81,277.09,275,eevee|2023|pokemon scarlet violet promos japanese|CGC10PRISTINE,0,,no-data,,formula,275
SK-26-G-0034,115079776,Gardevoir Ex,2024 Pokemon Paf En-Paldean Fates Gardevoir Ex Special Illustration Rare #233 PSA 10,2024,Pokemon Paf En-Paldean Fates,Special Illustration Rare,233,PSA 10,380.00,402.34,,PC,402.34,452.57,490,gardevoir ex|2024|pokemon paf en paldean fates|PSA10,3,425.48,stable-norecent,490,ebay,490
SK-26-G-0084,6130902118,Mega Charizard X ex,2025 Pokemon Black Star Promos Mega Charizard X ex Mega Charizard X ex UPC #023 CGC 10 Pristine,2025,Pokemon Black Star Promos,Mega Charizard X ex UPC,023,CGC 10 Pristine,295.00,,,CL,295.00,334.50,380,mega charizard x ex|2025|pokemon black star promos|CGC10PRISTINE,8,331.28,stable-norecent,380,ebay,380
SK-26-G-0037,113090244,Rowlet / Aln.exgtr.gx,2019 Pokemon Japanese Sun & Moon Sky Legend Rowlet / Aln.exgtr.gx Sky Legend-Full Art #056 PSA 10,2019,Pokemon Japanese Sun & Moon Sky Legend,Sky Legend-Full Art,056,PSA 10,235.00,,,CL,235.00,268.50,270,rowlet aln exgtr gx|2019|pokemon japanese sun moon sky legend|PSA10,0,,no-data,,formula,270
SK-26-G-0013,111350109,Fa / Charizard Vmax,2020 Pokemon Japanese Sword & Shield Shiny Star V Fa / Charizard Vmax Shiny Star V #308 PSA 10,2020,Pokemon Japanese Sword & Shield Shiny Star V,Shiny Star V,308,PSA 10,359.99,306.21,,CL,359.99,405.99,405,fa charizard vmax|2020|pokemon japanese sword shield shiny star v|PSA10,7,267.21,up,305,formula,405
SK-26-G-0015,134321907,M.sbleye / Tyranitar Gx,2019 Pokemon Sun & Moon Unified Minds M.sbleye / Tyranitar Gx Unified Minds-Fa #226 PSA 9,2019,Pokemon Sun & Moon Unified Minds,Unified Minds-Fa,226,PSA 9,382.00,345.00,,CL,382.00,430.20,430,m sbleye tyranitar gx|2019|pokemon sun moon unified minds|PSA9,3,307.95,down,340,formula,430
SK-26-G-0097,128159429,Pikachu,2025 Pokemon Simplified Chinese 151 C-Collection 151 Pikachu Art Rare #172 PSA 10,2025,Pokemon Simplified Chinese 151 C-Collection 151,Art Rare,172,PSA 10,2950.00,2679.83,,CL,2950.00,3186.00,3185,pikachu|2025|pokemon simplified chinese 151 c collection 151|PSA10,1,2649.98,stable-norecent,3045,formula,3185
SK-26-G-0071,3914522049,Feraligatr,2000 Pokemon Neo Genesis Feraligatr Holo #5/111 CGC 8.5,2000,Pokemon Neo Genesis,Holo,5/111,CGC 8.5,133.00,,,CL,133.00,155.95,155,feraligatr|2000|pokemon neo genesis|CGC85,0,,no-ebay-data,,formula,155
