cert,name,current,cl_cv,pc,ebay_avg,ebay_count,ebay_reject,ebay_kw,ebay_url,winner,base,new_price,action,reason
102607615,Pikachu with Grey Felt Hat (FA),3400.0,,,,0,,,,,,,skip,not in CL
106438552,FA Dragonite V,1405.0,,,,0,,,,,,,skip,not in CL
107496657,FA Rayquaza VMAX,610.0,,,,0,,,,,,,skip,not in CL
108973922,Origin Forme Palkia VSTAR,360.0,,,,0,,,,,,,skip,not in CL
110420477,Umbreon VMAX (FA Secret),2555.0,2499.00,,,1,need>=3 (got 1),2021 Umbreon VMAX Full Art Secret Rare #215 Sword & Shield Evolving Skies PSA 9,https://www.ebay.com/sch/i.html?_nkw=2021+Umbreon+VMAX+Full+Art+Secret+Rare+%23215+Sword+%26+Shield+Evolving+Skies+PSA+9&LH_Sold=1&LH_Complete=1&_ipg=120,NONE,0.00,0,skip-no-market-data,
110772487,Charizard V (Alternate Full Art),320.0,307.00,,305.25,4,,2022 Charizard V Alternate Full Art #154 Sword & Shield Brilliant Stars PSA 9,https://www.ebay.com/sch/i.html?_nkw=2022+Charizard+V+Alternate+Full+Art+%23154+Sword+%26+Shield+Brilliant+Stars+PSA+9&LH_Sold=1&LH_Complete=1&_ipg=120,EBAY,305.25,320,no-change,
111350109,FA Charizard VMAX,310.0,277.00,,330.99,5,,2020 Full Art Charizard Vmax Shiny Star V #308 Sword & Shield Shiny Star V PSA 10,https://www.ebay.com/sch/i.html?_nkw=2020+Full+Art+Charizard+Vmax+Shiny+Star+V+%23308+Sword+%26+Shield+Shiny+Star+V+PSA+10&LH_Sold=1&LH_Complete=1&_ipg=120,EBAY,330.99,345,raise,
112214360,Pidgeotto (Illustration Rare),250.0,240.00,,250.99,8,,2023 Pidgeotto Illustration Rare #208 Obsidian Flames PSA 10,https://www.ebay.com/sch/i.html?_nkw=2023+Pidgeotto+Illustration+Rare+%23208+Obsidian+Flames+PSA+10&LH_Sold=1&LH_Complete=1&_ipg=120,EBAY,250.99,260,skip-below-tier-threshold,
113090244,Rowlet & Alolan Exeggutor GX (FA),175.0,166.51,,,0,need>=3 (got 0),2019 Rowlet Aln.exgtr.gx Sky Legend-Full Art #056 Sun & Moon Sky Legend PSA 10,https://www.ebay.com/sch/i.html?_nkw=2019+Rowlet+Aln.exgtr.gx+Sky+Legend-Full+Art+%23056+Sun+%26+Moon+Sky+Legend+PSA+10&LH_Sold=1&LH_Complete=1&_ipg=120,NONE,0.00,0,skip-no-market-data,
113910492,FA Mewtwo V,380.0,355.00,,388.03,8,,2022 Full Art Mewtwo V #072 Go PSA 10,https://www.ebay.com/sch/i.html?_nkw=2022+Full+Art+Mewtwo+V+%23072+Go+PSA+10&LH_Sold=1&LH_Complete=1&_ipg=120,EBAY,388.03,400,raise,
114068076,Milotic ex (Special Art Rare),140.0,130.00,,,0,need>=3 (got 0),2024 Milotic Ex Special Art Rare #131 Sv8-Super Electric Breaker PSA 10,https://www.ebay.com/sch/i.html?_nkw=2024+Milotic+Ex+Special+Art+Rare+%23131+Sv8-Super+Electric+Breaker+PSA+10&LH_Sold=1&LH_Complete=1&_ipg=120,NONE,0.00,0,skip-no-market-data,
115079776,Gardevoir ex (Special Illustration Rare),500.0,450.00,,,2,need>=3 (got 2),2024 Gardevoir Ex Special Illustration Rare #233 Paldean Fates PSA 10,https://www.ebay.com/sch/i.html?_nkw=2024+Gardevoir+Ex+Special+Illustration+Rare+%23233+Paldean+Fates+PSA+10&LH_Sold=1&LH_Complete=1&_ipg=120,NONE,0.00,0,skip-no-market-data,
119392108,Pikachu ex (Special Illustration Rare),1225.0,1181.24,,1208.55,7,,2024 Pikachu ex Special Illustration Rare #238 Scarlet & Violet Surging Sparks PSA 10,https://www.ebay.com/sch/i.html?_nkw=2024+Pikachu+ex+Special+Illustration+Rare+%23238+Scarlet+%26+Violet+Surging+Sparks+PSA+10&LH_Sold=1&LH_Complete=1&_ipg=120,EBAY,1208.55,1240,skip-below-tier-threshold,
121116624,FA Deoxys,310.0,300.00,,198.00,4,,2023 Full Art Deoxys Crown Zenith #GG12 Sword and Shield Crown Zenith PSA 10,https://www.ebay.com/sch/i.html?_nkw=2023+Full+Art+Deoxys+Crown+Zenith+%23GG12+Sword+and+Shield+Crown+Zenith+PSA+10&LH_Sold=1&LH_Complete=1&_ipg=120,EBAY,198.00,210,lower,
126435156,Eevee ex,410.0,393.00,,385.97,5,,2025 Eevee Ex Pre Super-Premium Collection #174 Sv Black Star Promo PSA 10,https://www.ebay.com/sch/i.html?_nkw=2025+Eevee+Ex+Pre+Super-Premium+Collection+%23174+Sv+Black+Star+Promo+PSA+10&LH_Sold=1&LH_Complete=1&_ipg=120,EBAY,385.97,400,lower,
128159429,Pikachu (Art Rare),3885.0,3800.00,,,0,need>=3 (got 0),2025 Pikachu Art Rare #172 Simplified Chinese 151 C-Collection 151 PSA 10,https://www.ebay.com/sch/i.html?_nkw=2025+Pikachu+Art+Rare+%23172+Simplified+Chinese+151+C-Collection+151+PSA+10&LH_Sold=1&LH_Complete=1&_ipg=120,NONE,0.00,0,skip-no-market-data,
131611480,Mewtwo GX (Secret),970.0,890.00,,955.99,8,,2017 Mewtwo Gx Shining Legends-Secret #78 Sun & Moon Shining Legends PSA 8,https://www.ebay.com/sch/i.html?_nkw=2017+Mewtwo+Gx+Shining+Legends-Secret+%2378+Sun+%26+Moon+Shining+Legends+PSA+8&LH_Sold=1&LH_Complete=1&_ipg=120,EBAY,955.99,980,skip-below-tier-threshold,
134321907,M Sableye & Tyranitar GX (FA),355.0,341.00,,,0,need>=3 (got 0),2019 M.sbleye Tyranitar Gx Unified Minds-Fa #226 Sun & Moon Unified Minds PSA 9,https://www.ebay.com/sch/i.html?_nkw=2019+M.sbleye+Tyranitar+Gx+Unified+Minds-Fa+%23226+Sun+%26+Moon+Unified+Minds+PSA+9&LH_Sold=1&LH_Complete=1&_ipg=120,NONE,0.00,0,skip-no-market-data,
138441842,Umbreon Holo,1050.0,,,,0,,,,,,,skip,not in CL
139036804,Zapdos Holo,95.0,85.00,,95.96,8,,1999 Zapdos #16 Game PSA 8,https://www.ebay.com/sch/i.html?_nkw=1999+Zapdos+%2316+Game+PSA+8&LH_Sold=1&LH_Complete=1&_ipg=120,EBAY,95.96,105,raise,
139206918,Mega Venusaur ex (Special Illustration Rare),340.0,323.99,,325.17,5,,2025 Mega Venusaur Ex Special Illustration Rare #177 Mega Evolution PSA 10,https://www.ebay.com/sch/i.html?_nkw=2025+Mega+Venusaur+Ex+Special+Illustration+Rare+%23177+Mega+Evolution+PSA+10&LH_Sold=1&LH_Complete=1&_ipg=120,EBAY,325.17,340,no-change,
