cert,name,current,cl_cv,pc,ebay_avg,ebay_count,ebay_reject,ebay_kw,winner,base,new_price,action,reason
4322429002,Eevee (Yu Nagaba illustrator),275.0,174.99,,85.89,4,,PRISTINE 10 Eevee #062/SV-P Scarlet & Violet,CL,174.99,205,skip-not-lowering,
50358384,Charizard & Braixen-GX,345.0,270.00,,,8,avg $18042 > 2x CL $270,Celebi #251 Neo 3,CL,270.00,305,skip-not-lowering,
60607369,Rayquaza,295.0,205.00,,237.23,8,,PSA 10 Rayquaza #138 Sword & Shield,EBAY,237.23,270,skip-not-lowering,
6130902118,Mega Charizard X ex,430.0,265.00,,321.88,5,,PRISTINE 10 Mega Charizard X ex #023 Black Star Promos,EBAY,321.88,365,skip-not-lowering,
6136935033,Umbreon Gold Star,495.0,380.00,,,2,need>=3 (got 2),PRISTINE 10 Umbreon ☆ #17/17 Celebrations - Classic,CL,380.00,430,skip-not-lowering,
65570347,Absol,305.0,187.90,,269.04,8,,Venusaur #15 Game,EBAY,269.04,305,no-change,
72016903,Charizard (Reverse Foil),225.0,154.00,,,0,need>=3 (got 0),MINT 9 Charizard #11 Xy Evolutions,CL,154.00,180,skip-not-lowering,
75183695,Origin Forme Dialga VSTAR,435.0,335.00,,301.78,8,,PSA 10 Orgn.frm.dialga Vstar #GG68 Sword and Shield,CL,335.00,380,skip-not-lowering,
84566703,Moltres,1200.0,,,,0,,,,,,skip,manual override
92889917,Magikarp (Art Rare),430.0,324.99,,329.00,8,,PSA 10 Magikarp #080 Sv1a-Triplet Beat,EBAY,329.00,370,skip-not-lowering,
94676138,Pikachu with Grey Felt Hat,3400.0,3150.00,,3217.06,16,,PSA 10 Pikachu with Grey Felt Hat #085 SVP Black Star,EBAY,3217.06,3475,raise,
95199161,Arceus VSTAR,555.0,420.00,,386.16,7,,PSA 10 Fa / Arceus Vstar #GG70 Sword and Shield,CL,420.00,470,skip-not-lowering,
95276041,Charizard ex (Ultra Rare),265.0,201.00,,,7,avg $3425 > 2x CL $201,PSA 10 Charizard Ex #215 Obf En-Obsidian Flames,CL,201.00,230,skip-not-lowering,
98517579,FA Shaymin EX,575.0,490.00,,,0,need>=3 (got 0),NM-MT 8 Fa / Shaymin Ex #77a Premium Trainer Xy,CL,490.00,550,skip-not-lowering,
99211118,FA Espeon VMAX,970.0,800.00,,788.59,8,,PSA 10 Espeon VMAX #270 Sword & Shield:,CL,800.00,890,skip-not-lowering,
99513425,Latias ex,300.0,250.00,,227.27,8,,PSA 10 Latias Ex #087 Sv7a-Paradise Dragona,CL,250.00,285,skip-not-lowering,
152039165,Deoxys VMAX,250.0,195.00,,188.58,8,,PSA 10 Full Art / Deoxys Vmax #GG45 Sword and Shield,CL,195.00,225,skip-not-lowering,
143516232,Reshiram ex,1765.0,1650.00,,1619.00,16,,PSA 10 Reshiram Ex #173 Wht En-White Flare,CL,1650.00,1780,raise,
151607423,Zekrom ex,2160.0,1800.00,,1936.82,8,,PSA 10 Zekrom Ex #172 Blk En-Black Bolt,EBAY,1936.82,2090,skip-not-lowering,
58568623,Charizard VMAX,370.0,312.75,,327.65,8,,PSA 10 Charizard VMAX #SV107 Sword & Shield:,EBAY,327.65,370,no-change,
6021612152,Ceruledge,120.0,39.01,,62.04,7,,CGC PRISTINE 10 Ceruledge #040/091 Paldean Fates -,EBAY,62.04,75,skip-not-lowering,
6021615021,Pikachu (World Championships),145.0,125.00,,97.29,3,,CGC PRISTINE 10 Pikachu #190 Black Star Promos,CL,125.00,145,no-change,
151936010,Mega Dragonite ex (Special Illustration Rare),2865.0,2465.00,,2594.60,8,,PSA 10 Mega Dragonite Ex #290 Asc En-Ascended Heroes,EBAY,2594.60,2800,skip-not-lowering,
89932897,Charizard ex (Special Illustration Rare),1960.0,1703.98,,1224.52,8,,PSA 10 Charizard ex #199 Scarlet & Violet,CL,1703.98,1840,skip-not-lowering,
156593992,Reshiram ex (Black White Rare),1765.0,1650.00,,1619.00,16,,PSA 10 Reshiram Ex #173 Wht En-White Flare,CL,1650.00,1780,raise,
104313026,Palafin (Illustration Rare),60.0,45.00,,57.25,5,,PSA 10 Palafin #225 Paf En-Paldean Fates,EBAY,57.25,70,raise,
