cert,name,current,cl_cv,pc,ebay_avg,ebay_count,ebay_reject,ebay_kw,winner,base,new_price,action,reason
102607615,Pikachu with Grey Felt Hat,3400.0,3150.00,,3217.06,16,,PSA 10 Pikachu with Grey Felt Hat #085 SVP Black Star,EBAY,3217.06,3475,raise,
106438552,Dangerous Drill,1510.0,1300.00,,1120.09,7,,PSA 10 Fa / Dragonite V #192 Sword & Shield,CL,1300.00,1405,skip-not-lowering,
107496657,Volcarona-GX,535.0,499.99,,,8,avg $1264 > 2x CL $500,PSA 10 Fa / Rayquaza Vmax #252 Sword & Shield,CL,499.99,560,raise,
108973922,Origin Forme Palkia VSTAR,380.0,320.00,,252.12,7,,PSA 10 Orgn.frm.palkia Vstar #GG67 Sword and Shield,CL,320.00,360,skip-not-lowering,
110420477,FA Umbreon VMAX,2580.0,2213.69,,,0,need>=3 (got 0),MINT 9 Umbreon VMAX #215 Sword & Shield:,CL,2213.69,2390,skip-not-lowering,
110772487,M Aggron-EX,405.0,316.00,,,8,avg $953 > 2x CL $316,PSA 10 Charizard V #154 Sword & Shield:,CL,316.00,360,skip-not-lowering,
111350109,FAICHARIZARDVMAX SHINYSTARV,405.0,271.00,,,8,avg $5495 > 2x CL $271,PSA 10 Fa / Charizard Vmax #308 Sword & Shield,CL,271.00,310,skip-not-lowering,
112214360,Pidgeotto (Illustration Rare),310.0,185.00,,187.60,6,,PSA 10 Pidgeotto #208 Obf En-Obsidian Flames,EBAY,187.60,220,skip-not-lowering,
113090244,Sandile,340.0,166.51,,152.32,7,,PSA 10 Rowlet / Aln.exgtr.gx #056 Sun & Moon,CL,166.51,195,skip-not-lowering,
113910492,Goomy,430.0,375.00,,292.31,8,,PSA 10 Fa / Mewtwo V #072 Go,CL,375.00,425,skip-not-lowering,
114068076,Psychic Energy,225.0,123.49,,144.10,8,,PSA 10 Milotic Ex #131 Sv8-Super Electric Breaker,EBAY,144.10,170,skip-not-lowering,
115079776,Professor Oak's Setup,490.0,448.95,,278.61,8,,Gardevoir Ex #233 Paf En-Paldean Fates,CL,448.95,505,raise,
119392108,Weavile,1435.0,1300.00,,931.97,8,,PSA 10 Pikachu ex #238 Scarlet & Violet:,CL,1300.00,1405,skip-not-lowering,
121116624,Deoxys,375.0,300.00,,184.84,7,,PSA 10 Fa / Deoxys #GG12 Sword and Shield,CL,300.00,340,skip-not-lowering,
126435156,Eevee ex,550.0,380.00,,491.94,16,,PSA 10 Eevee Ex #174 Svp En-Sv Black,EBAY,491.94,550,no-change,
128159429,Pikachu (Art Rare),3780.0,3243.48,,2488.00,8,,PSA 10 Pikachu #172 Simplified Chinese 151,CL,3243.48,3505,skip-not-lowering,
131611480,Kangaskhan-EX,1040.0,950.00,,,8,avg $8498 > 2x CL $950,PSA 10 Mewtwo Gx #78 Sun & Moon,CL,950.00,1055,raise,
134321907,Mega Lopunny & Jigglypuff-GX,690.0,390.00,,,7,avg $1020 > 2x CL $390,PSA 10 M.sbleye / Tyranitar Gx #226 Sun & Moon,CL,390.00,440,skip-not-lowering,
138441842,Umbreon Holo JP,1220.0,875.00,,702.43,8,,PSA 9 Umbreon #197 Neo 2,CL,875.00,975,skip-not-lowering,
139036804,Zapdos Holo,260.0,102.00,,147.02,8,,PSA 8 Zapdos #16 Game,EBAY,147.02,170,skip-not-lowering,
139206918,Jasmine,395.0,300.00,,319.83,8,,PSA 10 Mega Venusaur Ex #177 Meg En-Mega Evolution,EBAY,319.83,360,skip-not-lowering,
143540438,Roaring Moon ex (Special Illustration Rare),970.0,849.99,,852.62,8,,PSA 10 Roaring Moon Ex #162 Pre En-Prismatic Evolutions,EBAY,852.62,950,skip-not-lowering,
146514325,Eevee ex,550.0,380.00,,491.94,16,,PSA 10 Eevee Ex #174 Svp En-Sv Black,EBAY,491.94,550,no-change,
146746311,Mega Latias ex,400.0,319.00,,366.25,8,,PSA 10 Mega Latias Ex #181 Meg En-Mega Evolution,EBAY,366.25,415,raise,
147655076,Pikachu VMAX,455.0,405.00,,191.59,8,,PSA 10 Fa / Pikachu Vmax #188 Sword & Shield,CL,405.00,455,no-change,
3914522049,Feraligatr Holo,175.0,163.00,,,0,need>=3 (got 0),NM-MT+ 8.5 Feraligatr #5/111 Neo Genesis,CL,163.00,190,raise,
4321131035,Blastoise ex SAR,465.0,354.90,,,1,need>=3 (got 1),CGC PRISTINE 10 Blastoise ex #202/165 Card 151 Japanese,CL,354.90,400,skip-not-lowering,
