cert,name,current,cl_cv,pc,ebay_avg,ebay_count,ebay_reject,ebay_kw,winner,base,new_price,action,reason
102607615,Pikachu with Grey Felt Hat,3380.0,3025.00,,2975.51,16,,PSA 10 Pikachu with Grey Felt Hat #085 SVP Black Star,CL,3025.00,3265,skip-not-lowering,
106438552,Dangerous Drill,1510.0,1350.00,,1029.10,8,,PSA 10 Fa / Dragonite V #192 Sword & Shield,CL,1350.00,1460,skip-not-lowering,
107496657,Volcarona-GX,535.0,445.00,,439.50,8,,PSA 10 Fa / Rayquaza Vmax #252 Sword & Shield,CL,445.00,500,skip-not-lowering,
108973922,Origin Forme Palkia VSTAR,380.0,320.00,,252.09,6,,PSA 10 Orgn.frm.palkia Vstar #GG67 Sword and Shield,CL,320.00,360,skip-not-lowering,
110420477,FA Umbreon VMAX,2580.0,2347.50,,,0,need>=3 (got 0),MINT 9 Umbreon VMAX #215 Sword & Shield:,CL,2347.50,2535,skip-not-lowering,
110772487,M Aggron-EX,405.0,360.00,,,0,need>=3 (got 0),PSA 10 Charizard V #154 Sword & Shield:,CL,360.00,405,no-change,
111350109,FAICHARIZARDVMAX SHINYSTARV,405.0,290.22,,250.50,8,,PSA 10 Fa / Charizard Vmax #308 Sword & Shield,CL,290.22,330,skip-not-lowering,
112214360,Pidgeotto (Illustration Rare),310.0,185.00,,187.74,5,,PSA 10 Pidgeotto #208 Obf En-Obsidian Flames,EBAY,187.74,220,skip-not-lowering,
113090244,Sandile,340.0,166.51,,,7,avg $1431 > 2x CL $167,PSA 10 Rowlet / Aln.exgtr.gx #056 Sun & Moon,CL,166.51,195,skip-not-lowering,
113910492,Goomy,430.0,380.00,,269.00,8,,PSA 10 Fa / Mewtwo V #072 Go,CL,380.00,430,no-change,
114068076,Psychic Energy,225.0,123.49,,139.77,8,,PSA 10 Milotic Ex #131 Sv8-Super Electric Breaker,EBAY,139.77,165,skip-not-lowering,
115079776,Professor Oak's Setup,490.0,425.00,,231.89,8,,Gardevoir Ex #233 Paf En-Paldean Fates,CL,425.00,480,skip-not-lowering,
119392108,Weavile,1435.0,1193.41,,965.97,8,,PSA 10 Pikachu ex #238 Scarlet & Violet:,CL,1193.41,1290,skip-not-lowering,
121116624,Deoxys,375.0,300.00,,196.65,6,,PSA 10 Fa / Deoxys #GG12 Sword and Shield,CL,300.00,340,skip-not-lowering,
126435156,Eevee ex,540.0,449.99,,492.31,16,,PSA 10 Eevee Ex #174 Svp En-Sv Black,EBAY,492.31,550,raise,
128159429,Pikachu (Art Rare),3780.0,3100.00,,,0,need>=3 (got 0),PSA 10 Pikachu #172 Simplified Chinese 151,CL,3100.00,3350,skip-not-lowering,
131611480,Kangaskhan-EX,1040.0,925.00,,,8,avg $8446 > 2x CL $925,PSA 10 Mewtwo Gx #78 Sun & Moon,CL,925.00,1030,skip-not-lowering,
134321907,Mega Lopunny & Jigglypuff-GX,690.0,390.00,,,7,avg $1126 > 2x CL $390,PSA 10 M.sbleye / Tyranitar Gx #226 Sun & Moon,CL,390.00,440,skip-not-lowering,
138441842,Umbreon Holo JP,1220.0,1080.00,,701.23,8,,PSA 9 Umbreon #197 Neo 2,CL,1080.00,1165,skip-not-lowering,
139036804,Zapdos Holo,260.0,95.47,,146.99,8,,PSA 8 Zapdos #16 Game,EBAY,146.99,170,skip-not-lowering,
139206918,Jasmine,395.0,300.00,,330.73,8,,PSA 10 Mega Venusaur Ex #177 Meg En-Mega Evolution,EBAY,330.73,375,skip-not-lowering,
143540438,Roaring Moon ex (Special Illustration Rare),940.0,825.00,,870.63,8,,PSA 10 Roaring Moon Ex #162 Pre En-Prismatic Evolutions,EBAY,870.63,970,raise,
146514325,Eevee ex,540.0,449.99,,492.31,16,,PSA 10 Eevee Ex #174 Svp En-Sv Black,EBAY,492.31,550,raise,
146746311,Mega Latias ex,400.0,295.00,,348.85,8,,PSA 10 Mega Latias Ex #181 Meg En-Mega Evolution,EBAY,348.85,395,skip-not-lowering,
147655076,Pikachu VMAX,445.0,350.00,,367.91,7,,PSA 10 Fa / Pikachu Vmax #188 Sword & Shield,EBAY,367.91,415,skip-not-lowering,
3914522049,Feraligatr Holo,175.0,150.00,,,0,need>=3 (got 0),NM-MT+ 8.5 Feraligatr #5/111 Neo Genesis,CL,150.00,175,no-change,
4321131035,Blastoise ex SAR,400.0,354.90,,80.46,3,,CGC PRISTINE 10 Blastoise ex #202/165 Card 151 Japanese,CL,354.90,400,no-change,
