cert,name,current,cl_cv,pc,ebay_avg,ebay_count,ebay_reject,ebay_kw,winner,base,new_price,action,reason
4322429002,Eevee (Yu Nagaba illustrator),275.0,174.99,,,1,need>=3 (got 1),PRISTINE 10 Eevee #062/SV-P Scarlet & Violet,CL,174.99,205,skip-not-lowering,
50358384,Charizard & Braixen-GX,345.0,210.00,,162.13,8,,Celebi #251 Neo 3,CL,210.00,240,skip-not-lowering,
60607369,Rayquaza,295.0,185.00,,211.39,8,,PSA 10 Rayquaza #138 Sword & Shield,EBAY,211.39,245,skip-not-lowering,
6130902118,Mega Charizard X ex,430.0,278.33,,337.31,5,,PRISTINE 10 Mega Charizard X ex #023 Black Star Promos,EBAY,337.31,380,skip-not-lowering,
6136935033,Umbreon Gold Star,495.0,380.00,,427.32,3,,PRISTINE 10 Umbreon ☆ #17/17 Celebrations - Classic,EBAY,427.32,480,skip-not-lowering,
65570347,Absol,305.0,200.00,,,8,avg $562 > 2x CL $200,Venusaur #15 Game,CL,200.00,230,skip-not-lowering,
72016903,Charizard (Reverse Foil),225.0,192.27,,,0,need>=3 (got 0),MINT 9 Charizard #11 Xy Evolutions,CL,192.27,225,no-change,
75183695,Origin Forme Dialga VSTAR,435.0,324.00,,,8,avg $2764 > 2x CL $324,PSA 10 Orgn.frm.dialga Vstar #GG68 Sword and Shield,CL,324.00,365,skip-not-lowering,
84566703,Moltres,1200.0,,,,0,,,,,,skip,manual override
92889917,Magikarp (Art Rare),430.0,381.00,,344.64,8,,PSA 10 Magikarp #080 Sv1a-Triplet Beat,CL,381.00,430,no-change,
94676138,Pikachu with Grey Felt Hat,3380.0,3025.00,,2975.51,16,,PSA 10 Pikachu with Grey Felt Hat #085 SVP Black Star,CL,3025.00,3265,skip-not-lowering,
95199161,Arceus VSTAR,555.0,449.99,,351.99,3,,PSA 10 Fa / Arceus Vstar #GG70 Sword and Shield,CL,449.99,505,skip-not-lowering,
95276041,Charizard ex (Ultra Rare),265.0,190.00,,181.22,8,,PSA 10 Charizard Ex #215 Obf En-Obsidian Flames,CL,190.00,220,skip-not-lowering,
98517579,FA Shaymin EX,575.0,490.00,,,0,need>=3 (got 0),NM-MT 8 Fa / Shaymin Ex #77a Premium Trainer Xy,CL,490.00,550,skip-not-lowering,
99211118,FA Espeon VMAX,970.0,832.00,,781.14,8,,PSA 10 Espeon VMAX #270 Sword & Shield:,CL,832.00,925,skip-not-lowering,
99513425,Latias ex,300.0,228.00,,245.42,8,,PSA 10 Latias Ex #087 Sv7a-Paradise Dragona,EBAY,245.42,280,skip-not-lowering,
152039165,Deoxys VMAX,250.0,179.99,,185.83,8,,PSA 10 Full Art / Deoxys Vmax #GG45 Sword and Shield,EBAY,185.83,215,skip-not-lowering,
143516232,Reshiram ex,1750.0,1600.00,,1581.34,8,,PSA 10 Reshiram Ex #173 Wht En-White Flare,CL,1600.00,1730,skip-not-lowering,
151607423,Zekrom ex,2100.0,1851.00,,1875.28,8,,PSA 10 Zekrom Ex #172 Blk En-Black Bolt,EBAY,1875.28,2025,skip-not-lowering,
58568623,Charizard VMAX,355.0,292.16,,318.51,7,,PSA 10 Charizard VMAX #SV107 Sword & Shield:,EBAY,318.51,360,raise,
6021612152,Ceruledge,120.0,39.01,,53.26,7,,CGC PRISTINE 10 Ceruledge #040/091 Paldean Fates -,EBAY,53.26,65,skip-not-lowering,
6021615021,Pikachu (World Championships),145.0,125.00,,97.38,3,,CGC PRISTINE 10 Pikachu #190 Black Star Promos,CL,125.00,145,no-change,
151936010,Mega Dragonite ex (Special Illustration Rare),2865.0,2625.00,,2651.65,8,,PSA 10 Mega Dragonite Ex #290 Asc En-Ascended Heroes,EBAY,2651.65,2865,no-change,
89932897,Charizard ex (Special Illustration Rare),1960.0,1703.00,,1771.17,8,,PSA 10 Charizard ex #199 Scarlet & Violet,EBAY,1771.17,1915,skip-not-lowering,
