cert,name,current,cl_cv,pc,ebay_avg,ebay_count,ebay_reject,ebay_kw,ebay_url,winner,base,new_price,action,reason
102607615,Pikachu with Grey Felt Hat (FA),3400.0,3070.00,,2941.14,8,,2023 Pikachu with Grey Felt Hat Full Art #085 SVP Black Star Promos PSA 10,https://www.ebay.com/sch/i.html?_nkw=2023+Pikachu+with+Grey+Felt+Hat+Full+Art+%23085+SVP+Black+Star+Promos+PSA+10&LH_Sold=1&LH_Complete=1&_ipg=120,CL,3070.00,3315,skip-not-lowering,
106438552,FA Dragonite V,1405.0,,,,0,,,,,,,skip,not in CL
107496657,FA Rayquaza VMAX,610.0,450.00,,,0,need>=3 (got 0),2021 Full Art Rayquaza Vmax #252 Sword & Shield Vmax Climax PSA 10,https://www.ebay.com/sch/i.html?_nkw=2021+Full+Art+Rayquaza+Vmax+%23252+Sword+%26+Shield+Vmax+Climax+PSA+10&LH_Sold=1&LH_Complete=1&_ipg=120,CL,450.00,505,skip-not-lowering,
108973922,Origin Forme Palkia VSTAR,360.0,320.00,,,0,need>=3 (got 0),2023 Orgn.frm.palkia Vstar Crown Zenith-Fa-Secret #GG67 Sword and Shield Crown Zenith PSA 10,https://www.ebay.com/sch/i.html?_nkw=2023+Orgn.frm.palkia+Vstar+Crown+Zenith-Fa-Secret+%23GG67+Sword+and+Shield+Crown+Zenith+PSA+10&LH_Sold=1&LH_Complete=1&_ipg=120,CL,320.00,360,no-change,
110420477,Umbreon VMAX (FA Secret),2390.0,2219.00,,2256.40,3,,2021 Umbreon VMAX Full Art Secret Rare #215 Sword & Shield Evolving Skies PSA 9,https://www.ebay.com/sch/i.html?_nkw=2021+Umbreon+VMAX+Full+Art+Secret+Rare+%23215+Sword+%26+Shield+Evolving+Skies+PSA+9&LH_Sold=1&LH_Complete=1&_ipg=120,EBAY,2256.40,2435,skip-below-tier-threshold,
110772487,Charizard V (Alternate Full Art),395.0,336.99,,283.68,4,,2022 Charizard V Alternate Full Art #154 Sword & Shield Brilliant Stars PSA 9,https://www.ebay.com/sch/i.html?_nkw=2022+Charizard+V+Alternate+Full+Art+%23154+Sword+%26+Shield+Brilliant+Stars+PSA+9&LH_Sold=1&LH_Complete=1&_ipg=120,CL,336.99,380,skip-not-lowering,
111350109,FA Charizard VMAX,305.0,267.95,,336.99,5,,2020 Full Art Charizard Vmax Shiny Star V #308 Sword & Shield Shiny Star V PSA 10,https://www.ebay.com/sch/i.html?_nkw=2020+Full+Art+Charizard+Vmax+Shiny+Star+V+%23308+Sword+%26+Shield+Shiny+Star+V+PSA+10&LH_Sold=1&LH_Complete=1&_ipg=120,EBAY,336.99,380,raise,
112214360,Pidgeotto (Illustration Rare),285.0,175.00,,213.85,8,,2023 Pidgeotto Illustration Rare #208 Obsidian Flames PSA 10,https://www.ebay.com/sch/i.html?_nkw=2023+Pidgeotto+Illustration+Rare+%23208+Obsidian+Flames+PSA+10&LH_Sold=1&LH_Complete=1&_ipg=120,EBAY,213.85,245,skip-not-lowering,
113090244,Rowlet & Alolan Exeggutor GX (FA),260.0,166.51,,,1,need>=3 (got 1),2019 Rowlet Aln.exgtr.gx Sky Legend-Full Art #056 Sun & Moon Sky Legend PSA 10,https://www.ebay.com/sch/i.html?_nkw=2019+Rowlet+Aln.exgtr.gx+Sky+Legend-Full+Art+%23056+Sun+%26+Moon+Sky+Legend+PSA+10&LH_Sold=1&LH_Complete=1&_ipg=120,CL,166.51,195,skip-not-lowering,
113910492,FA Mewtwo V,420.0,399.00,,366.43,7,,2022 Full Art Mewtwo V #072 Go PSA 10,https://www.ebay.com/sch/i.html?_nkw=2022+Full+Art+Mewtwo+V+%23072+Go+PSA+10&LH_Sold=1&LH_Complete=1&_ipg=120,CL,399.00,450,raise,
