cert,name,current,cl_cv,pc,ebay_avg,ebay_count,ebay_reject,ebay_kw,winner,base,new_price,action,reason
102607615,Pikachu with Grey Felt Hat,3380.0,3150.00,,,15,avg $6978 > 2x CL $3150,PSA 10 Pikachu with Grey Felt Hat #085 SVP Black Star,CL,3150.00,3400,raise,
106438552,Dangerous Drill,1510.0,1342.73,,1055.39,8,,PSA 10 Fa / Dragonite V #192 Sword & Shield,CL,1342.73,1450,skip-not-lowering,
107496657,Volcarona-GX,535.0,502.00,,814.45,8,,PSA 10 Fa / Rayquaza Vmax #252 Sword & Shield,EBAY,814.45,905,raise,
108973922,Origin Forme Palkia VSTAR,380.0,335.00,,294.74,6,,PSA 10 Orgn.frm.palkia Vstar #GG67 Sword and Shield,CL,335.00,380,no-change,
110420477,FA Umbreon VMAX,2580.0,2351.30,,,0,need>=3 (got 0),MINT 9 Umbreon VMAX #215 Sword & Shield:,CL,2351.30,2540,skip-not-lowering,
110772487,M Aggron-EX,405.0,326.00,,,8,avg $4778 > 2x CL $326,PSA 10 Charizard V #154 Sword & Shield:,CL,326.00,370,skip-not-lowering,
111350109,FAICHARIZARDVMAX SHINYSTARV,405.0,271.00,,275.70,8,,PSA 10 Fa / Charizard Vmax #308 Sword & Shield,EBAY,275.70,315,skip-not-lowering,
112214360,Pidgeotto (Illustration Rare),310.0,185.00,,175.80,5,,PSA 10 Pidgeotto #208 Obf En-Obsidian Flames,CL,185.00,215,skip-not-lowering,
113090244,Sandile,340.0,166.51,,125.58,6,,PSA 10 Rowlet / Aln.exgtr.gx #056 Sun & Moon,CL,166.51,195,skip-not-lowering,
113910492,Goomy,430.0,373.00,,292.31,8,,PSA 10 Fa / Mewtwo V #072 Go,CL,373.00,420,skip-not-lowering,
114068076,Psychic Energy,225.0,123.49,,165.73,8,,PSA 10 Milotic Ex #131 Sv8-Super Electric Breaker,EBAY,165.73,195,skip-not-lowering,
115079776,Professor Oak's Setup,490.0,425.00,,231.82,8,,Gardevoir Ex #233 Paf En-Paldean Fates,CL,425.00,480,skip-not-lowering,
119392108,Weavile,1435.0,1284.20,,802.90,7,,PSA 10 Pikachu ex #238 Scarlet & Violet:,CL,1284.20,1385,skip-not-lowering,
121116624,Deoxys,375.0,300.00,,179.18,6,,PSA 10 Fa / Deoxys #GG12 Sword and Shield,CL,300.00,340,skip-not-lowering,
126435156,Eevee ex,550.0,410.00,,483.89,16,,PSA 10 Eevee Ex #174 Svp En-Sv Black,EBAY,483.89,540,skip-not-lowering,
128159429,Pikachu (Art Rare),3780.0,3350.00,,3328.32,8,,PSA 10 Pikachu #172 Simplified Chinese 151,CL,3350.00,3620,skip-not-lowering,
131611480,Kangaskhan-EX,1040.0,925.00,,,8,avg $8396 > 2x CL $925,PSA 10 Mewtwo Gx #78 Sun & Moon,CL,925.00,1030,skip-not-lowering,
134321907,Mega Lopunny & Jigglypuff-GX,690.0,390.00,,,7,avg $798 > 2x CL $390,PSA 10 M.sbleye / Tyranitar Gx #226 Sun & Moon,CL,390.00,440,skip-not-lowering,
138441842,Umbreon Holo JP,1220.0,875.00,,685.70,8,,PSA 9 Umbreon #197 Neo 2,CL,875.00,975,skip-not-lowering,
139036804,Zapdos Holo,260.0,102.00,,147.94,8,,PSA 8 Zapdos #16 Game,EBAY,147.94,175,skip-not-lowering,
139206918,Jasmine,395.0,338.00,,319.83,8,,PSA 10 Mega Venusaur Ex #177 Meg En-Mega Evolution,CL,338.00,380,skip-not-lowering,
143540438,Roaring Moon ex (Special Illustration Rare),970.0,820.00,,846.62,8,,PSA 10 Roaring Moon Ex #162 Pre En-Prismatic Evolutions,EBAY,846.62,940,skip-not-lowering,
146514325,Eevee ex,550.0,410.00,,483.89,16,,PSA 10 Eevee Ex #174 Svp En-Sv Black,EBAY,483.89,540,skip-not-lowering,
146746311,Mega Latias ex,400.0,291.00,,343.02,8,,PSA 10 Mega Latias Ex #181 Meg En-Mega Evolution,EBAY,343.02,385,skip-not-lowering,
147655076,Pikachu VMAX,445.0,405.00,,308.43,8,,PSA 10 Fa / Pikachu Vmax #188 Sword & Shield,CL,405.00,455,raise,
3914522049,Feraligatr Holo,175.0,150.00,,,0,need>=3 (got 0),NM-MT+ 8.5 Feraligatr #5/111 Neo Genesis,CL,150.00,175,no-change,
4321131035,Blastoise ex SAR,400.0,413.00,,,1,need>=3 (got 1),CGC PRISTINE 10 Blastoise ex #202/165 Card 151 Japanese,CL,413.00,465,raise,
4322429002,Eevee (Yu Nagaba illustrator),275.0,174.99,,81.88,3,,PRISTINE 10 Eevee #062/SV-P Scarlet & Violet,CL,174.99,205,skip-not-lowering,
50358384,Charizard & Braixen-GX,345.0,210.00,,214.73,8,,Celebi #251 Neo 3,EBAY,214.73,245,skip-not-lowering,
60607369,Rayquaza,295.0,214.95,,204.23,8,,PSA 10 Rayquaza #138 Sword & Shield,CL,214.95,245,skip-not-lowering,
6130902118,Mega Charizard X ex,430.0,292.00,,321.88,5,,PRISTINE 10 Mega Charizard X ex #023 Black Star Promos,EBAY,321.88,365,skip-not-lowering,
6136935033,Umbreon Gold Star,495.0,380.00,,412.99,4,,PRISTINE 10 Umbreon ☆ #17/17 Celebrations - Classic,EBAY,412.99,465,skip-not-lowering,
65570347,Absol,305.0,182.50,,209.32,8,,Venusaur #15 Game,EBAY,209.32,240,skip-not-lowering,
72016903,Charizard (Reverse Foil),225.0,160.00,,,0,need>=3 (got 0),MINT 9 Charizard #11 Xy Evolutions,CL,160.00,185,skip-not-lowering,
75183695,Origin Forme Dialga VSTAR,435.0,335.00,,301.78,8,,PSA 10 Orgn.frm.dialga Vstar #GG68 Sword and Shield,CL,335.00,380,skip-not-lowering,
84566703,Moltres,1200.0,,,,0,,,,,,skip,manual override
92889917,Magikarp (Art Rare),430.0,300.00,,329.98,8,,PSA 10 Magikarp #080 Sv1a-Triplet Beat,EBAY,329.98,375,skip-not-lowering,
94676138,Pikachu with Grey Felt Hat,3380.0,3150.00,,,15,avg $6978 > 2x CL $3150,PSA 10 Pikachu with Grey Felt Hat #085 SVP Black Star,CL,3150.00,3400,raise,
95199161,Arceus VSTAR,555.0,402.00,,391.98,3,,PSA 10 Fa / Arceus Vstar #GG70 Sword and Shield,CL,402.00,450,skip-not-lowering,
95276041,Charizard ex (Ultra Rare),265.0,190.00,,181.22,8,,PSA 10 Charizard Ex #215 Obf En-Obsidian Flames,CL,190.00,220,skip-not-lowering,
98517579,FA Shaymin EX,575.0,490.00,,,0,need>=3 (got 0),NM-MT 8 Fa / Shaymin Ex #77a Premium Trainer Xy,CL,490.00,550,skip-not-lowering,
99211118,FA Espeon VMAX,970.0,860.00,,793.31,8,,PSA 10 Espeon VMAX #270 Sword & Shield:,CL,860.00,955,skip-not-lowering,
99513425,Latias ex,300.0,250.00,,227.76,8,,PSA 10 Latias Ex #087 Sv7a-Paradise Dragona,CL,250.00,285,skip-not-lowering,
152039165,Deoxys VMAX,250.0,195.00,,171.46,8,,PSA 10 Full Art / Deoxys Vmax #GG45 Sword and Shield,CL,195.00,225,skip-not-lowering,
143516232,Reshiram ex,1750.0,1600.00,,1633.28,16,,PSA 10 Reshiram Ex #173 Wht En-White Flare,EBAY,1633.28,1765,raise,
151607423,Zekrom ex,2100.0,1999.99,,1879.61,8,,PSA 10 Zekrom Ex #172 Blk En-Black Bolt,CL,1999.99,2160,raise,
58568623,Charizard VMAX,360.0,295.00,,327.65,8,,PSA 10 Charizard VMAX #SV107 Sword & Shield:,EBAY,327.65,370,raise,
6021612152,Ceruledge,120.0,39.01,,,4,avg $86 > 2x CL $39,CGC PRISTINE 10 Ceruledge #040/091 Paldean Fates -,CL,39.01,50,skip-not-lowering,
6021615021,Pikachu (World Championships),145.0,125.00,,,3,avg $487 > 2x CL $125,CGC PRISTINE 10 Pikachu #190 Black Star Promos,CL,125.00,145,no-change,
151936010,Mega Dragonite ex (Special Illustration Rare),2865.0,2465.00,,2444.93,8,,PSA 10 Mega Dragonite Ex #290 Asc En-Ascended Heroes,CL,2465.00,2660,skip-not-lowering,
89932897,Charizard ex (Special Illustration Rare),1960.0,1702.98,,1457.92,8,,PSA 10 Charizard ex #199 Scarlet & Violet,CL,1702.98,1840,skip-not-lowering,
156593992,Reshiram ex (Black White Rare),1750.0,1600.00,,1633.28,16,,PSA 10 Reshiram Ex #173 Wht En-White Flare,EBAY,1633.28,1765,raise,
104313026,Palafin (Illustration Rare),60.0,49.99,,85.97,6,,PSA 10 Palafin #225 Paf En-Paldean Fates,EBAY,85.97,100,raise,
